Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
 No pleural effusions,1.0,,,,,,,,,,0.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
Normal heart size and mediastinal contours,1.0,0.0,0.0,,,,,,,,,,,
 Calcified aortic XXXX,,,,,,,,,,,,,,
 No focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Visualized osseous structures are unremarkable appearance,1.0,,,,,,,,,,,,,
Cardiomegaly,,,1.0,,,,,,,,,,,
 There is no pulmonary edema,1.0,,,,,0.0,,,,,,,,
 There is no focal consolidation,1.0,,,,,,0.0,,,,,,,
 There are no XXXX of pleural effusion,1.0,,,,,,,,,,0.0,,,
 There is no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
There is bibasilar airspace disease,,,,,1.0,,,,,,,,,
 Cardiac silhouette is within normal limits and stable,1.0,,0.0,,,,,,,,,,,
 There is blunting of the right costophrenic XXXX unchanged XXXX scarring,,,,,1.0,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
"The lungs are hyperexpanded, with increased AP diameter of the chest",1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is stable and normal,1.0,0.0,,,,,,,,,,,,
 There is no pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
Lungs are clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
 Degenerative changes in the thoracic spine,,,,,,,,,,,,,,
Sternotomy XXXX noted,1.0,,,,,,,,,,,,,
 Suture material overlies the left upper lobe,1.0,,,,,,,,,,,,,
 Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
" Negative for focal pulmonary consolidation, pleural effusion or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
" Scarring left costophrenic XXXX, unchanged",,,,,1.0,,,,,,,,,
 Calcified granulomas noted,,,,,,,,,,,,,,
Sternotomy XXXX noted,1.0,,,,,,,,,,,,,
 Suture material overlies the left upper lobe,1.0,,,,,,,,,,,,,
 Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
" Negative for focal pulmonary consolidation, pleural effusion or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
" Scarring left costophrenic XXXX, unchanged",,,,,1.0,,,,,,,,,
 Calcified granulomas noted,,,,,,,,,,,,,,
[<Heart size and pulmonary vascularity within normal limits,1.0,,0.0,,,,,,,,,,,
 There is a large hiatal hernia seen projecting in the retrocardiac region,,,,,,,,,,,,,,
 This is XXXX from prior examination,1.0,,,,,,,,,,,,,
 There is associated atelectasis in the left lung base,,,,,,,,,1.0,,,,,
 No pleural effusion or pneumothorax is identified,1.0,,,,,,,,,0.0,0.0,,,
Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
 Pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
 there are residuals of prior granulomatous infection,,,,,,,,1.0,,,,,,
 Lungs otherwise clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Degenerative changes in the thoracic spine,,,,,,,,,,,,,,
The cardiomediastinal silhouette and vasculature are within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
 The lungs are normally inflated and clear,1.0,,,,,,,,,,,,,
 Osseous structures are within normal limits for patient age,1.0,,,,,,,,,,,,,
"Heart size within normal limits, stable mediastinal and hilar contours",,1.0,0.0,,,,,,,,,,,
" Stable mild hyperinflation, right apical pleural-parenchymal irregularities compatible with scarring",,,,,1.0,,,,,,,,,
" No focal alveolar consolidation, no definite pleural effusion seen",1.0,,,,,,0.0,,,,0.0,,,
 No typical findings of pulmonary edema,1.0,,,,,0.0,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
Lungs are clear,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Normal heart and mediastinal contours,1.0,0.0,,,,,,,,,,,,
 Normal pulmonary vasculature,1.0,,,,,,,,,,,,,
 Bony thorax intact,1.0,,,,,,,,,,,,,
No The cardiomediastinal silhouette and pulmonary vasculature are within normal limits,1.0,0.0,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 There are no focal areas of consolidation,1.0,,,,,,0.0,,,,,,,
 There are T-spine osteophytes,1.0,,,,,,,,,,,,,
"There is mild cardiomegaly, similar to prior exams",,,1.0,,,,,,,,,,,
 No focal consolidation,1.0,,,,,,0.0,,,,,,,
 No visible pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
The heart size and pulmonary vascularity appear within normal limits,,,1.0,,,,,,,,,,,
 The lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
 A few bandlike opacities are present which are XXXX to represent small areas of scarring or atelectasis,,,,,1.0,,,,-1.0,,,,,
 There is eventration of the right hemidiaphragm,,,,,,,,,,,,,,
 Calcified granuloma is present in the left lung,,,,,,,,,,,,,,
Normal heart size and mediastinal contours,1.0,0.0,0.0,,,,,,,,,,,
 No focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 Chronic appearing left greater than right lung base scarring with possible small effusions,,,,,1.0,,,,,,-1.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Visualized osseous structures are unremarkable in appearance,1.0,,,,,,,,,,,,,
Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
" No focal alveolar consolidation, no definite pleural effusion seen",1.0,,,,,,0.0,,,,0.0,,,
 No typical findings of pulmonary edema,1.0,,,,,0.0,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
The cardiac contours are normal,1.0,0.0,0.0,,,,,,,,,,,
 Prior granulomatous disease,,,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Thoracic spondylosis,1.0,,,,,,,,,,,,,
The cardiac contours are normal,1.0,0.0,0.0,,,,,,,,,,,
 Prior granulomatous disease,,,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Thoracic spondylosis,1.0,,,,,,,,,,,,,
The cardiac contours are normal,1.0,0.0,0.0,,,,,,,,,,,
 Prior granulomatous disease,,,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Thoracic spondylosis,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette is within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
" The lungs are normally inflated without evidence of focal airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 No acute osseus abnormality,1.0,,,,,,,,,,,,,
The cardiac contours are normal,1.0,0.0,0.0,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Thoracic spondylosis,1.0,,,,,,,,,,,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardio mediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
 Visualized osseous structures of the thorax are without acute abnormality,1.0,,,,,,,,,,,,,
Heart size and pulmonary vascularity appear within normal limits,1.0,,0.0,,,,,,,,,,,
 The ascending aorta is prominent and descending thoracic aorta is is tortuous,,,,,,,,,,,,,,
 Aorta appears unchanged as compared to the study,1.0,,,,,,,,,,,,,
 Lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
 No discrete nodules are identified,1.0,,,0.0,,,,,,,,,,
 There is an oblong density projecting over the anterior left 7th rib,,,,,,,,,,,,,,
 Appearance suggests an old rib fracture,,,,,,,,,,,,,1.0,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Scattered calcified granulomas noted,,,,,,,,,,,,,,
 Cardio mediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
 Visualized osseous structures of the thorax demonstrate mild multilevel degenerative disc disease of the thoracolumbar spine without acute abnormality,,,,,,,,,,,,,,
"Stable enlargement of the cardiac silhouette, lateral view interlobar fissural thickening",,,1.0,,,,,,,,,,,
 Interstitial opacities greatest in the central lungs and bases,,,,,1.0,,,,,,,,,
Cardiomediastinal silhouette and central pulmonary vasculature are within normal limits,1.0,0.0,,,,,,,,,,,,
 There is no focal air space opacity,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
 No acute bony abnormality is demonstrated,1.0,,,,,,,,,,,,,
Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
 Cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
 Lungs are clear bilaterally without effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 No bony or soft tissue abnormalities,1.0,,,,,,,,,,,,,
The lungs appear clear,1.0,,,,,,,,,,,,,
 The heart and pulmonary XXXX are normal,1.0,,0.0,,,,,,,,,,,
 Mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Surgical clips are identified in the mediastinum,,1.0,,,,,,,,,,,,
 Pleural spaces are clear,1.0,,,,,,,,,,,,,
 Soft tissue XXXX previously noted along the right lateral chest wall has resolved,1.0,,,,,,,,,,,,,
Frontal and lateral views of the chest show an unchanged cardiomediastinal silhouette,,-1.0,,,,,,,,,,,,
 Right-sided aortic XXXX,1.0,,,,,,,,,,,,,
" Normal mediastinal contour, pulmonary XXXX and vasculature, central airways and aeration of the lungs",1.0,0.0,,,,,,,,,,,,
 There is right basal XXXX patchy opacity and bibasal atelectasis or scarring,,,,,1.0,,,,-1.0,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Right apical calcified granuloma noted,,,,,,,,,,,,,,
Normal heart size and mediastinal contours,1.0,0.0,0.0,,,,,,,,,,,
 No abnormal airspace opacities or large cavitary lung lesions,1.0,,,,0.0,,,,,,,,,
 Visualized osseous structures are unremarkable in appearance,1.0,,,,,,,,,,,,,
Normal cardiomediastinal contours,1.0,0.0,,,,,,,,,,,,
 No pneumothorax or pleural effusions,1.0,,,,,,,,,0.0,0.0,,,
 No focal lung consolidation,1.0,,,,,,0.0,,,,,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardiomediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
 Visualized osseous structures of the thorax are without acute abnormality,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette is within normal limits for appearance,1.0,0.0,,,,,,,,,,,,
 No focal areas of pulmonary consolidation,1.0,,,,,,0.0,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 No pleural effusion,1.0,,,,,,,,,,0.0,,,
 The thoracic spine appears intact,1.0,,,,,,,,,,,,,
" No acute, displaced rib fractures identified",1.0,,,,,,,,,,,,0.0,
The XXXX examination consists of frontal and lateral radiographs of the chest,1.0,,,,,,,,,,,,,
 The cardiomediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 [Pulmonary vascularity is within normal limits>],1.0,,,,,,,,,,,,,
" No focal consolidation, pleural effusion, or pneumothorax identified",1.0,,,,,,0.0,,,0.0,0.0,,,
 The visualized osseous structures and upper abdomen are unremarkable,1.0,,,,,,,,,,,,,
The XXXX examination consists of frontal and lateral radiographs of the chest,1.0,,,,,,,,,,,,,
 The cardiomediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 [Pulmonary vascularity is within normal limits>],1.0,,,,,,,,,,,,,
" No focal consolidation, pleural effusion, or pneumothorax identified",1.0,,,,,,0.0,,,0.0,0.0,,,
 The visualized osseous structures and upper abdomen are unremarkable,1.0,,,,,,,,,,,,,
Heart is mildly enlarged but stable,1.0,,,,,,,,,,,,,
 Pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
 The patient is status post valve replacement,1.0,,,,,,,,,,,,,1.0
 XXXX sternotomy XXXX intact,1.0,,,,,,,,,,,,,
 No focal airspace disease or effusion,1.0,,,,0.0,,,,,,0.0,,,
 Residuals of prior granulomatous infection,,,,,,,,1.0,,,,,,
 Degenerative change of the spine,,,,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
The trachea is midline,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
" Lung XXXX are clear without evidence of effusion, infiltrate, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 Visualized bony structures are intact,1.0,,,,,,,,,,,,,
 Visualized soft tissues appear normal,1.0,,,,,,,,,,,,,
The heart size and pulmonary vascularity appear within normal limits,,,1.0,,,,,,,,,,,
 The thoracic aorta is tortuous,1.0,,,,,,,,,,,,,
 Lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
Normal heart size and mediastinal contours,1.0,0.0,0.0,,,,,,,,,,,
 There is interval improvement in the right lower lobe airspace disease,,,,,1.0,,,,,,,,,
 There is XXXX mild air space opacity in that distribution,,,,,1.0,,,,,,,,,
 No XXXX airspace disease,1.0,,,,0.0,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
Normal heart size and mediastinal contours,1.0,0.0,0.0,,,,,,,,,,,
 There is interval improvement in the right lower lobe airspace disease,,,,,1.0,,,,,,,,,
 There is XXXX mild air space opacity in that distribution,,,,,1.0,,,,,,,,,
 No XXXX airspace disease,1.0,,,,0.0,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The pulmonary vascularity is within normal limits in appearance,1.0,,,,,,,,,,,,,
 No focal air space opacities,1.0,,,,0.0,,,,,,,,,
 No pleural effusions or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 No acute bony abnormalities,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The pulmonary vascularity is within normal limits in appearance,1.0,,,,,,,,,,,,,
 No focal air space opacities,1.0,,,,0.0,,,,,,,,,
 No pleural effusions or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 No acute bony abnormalities,1.0,,,,,,,,,,,,,
Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
 Pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Bony thorax and soft tissues grossly unremarkable,1.0,,,,,,,,,,,,,
There are several small calcified granulomas,,,,,,,,,,,,,,
 The lungs are otherwise clear,1.0,,,,,,,,,,,,,
 No focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No suspicious pulmonary mass or nodule is identified,1.0,,,0.0,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Heart size and mediastinal contour are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 There are diffuse degenerative changes of the spine,,,,,,,,,,,,,,
This is a stable normal cardiomediastinal silhouette,1.0,0.0,,,,,,,,,,,,
 The lungs are mildly hyperexpanded,1.0,,,,,,,,,,,,,
 Some blunting of the left costophrenic XXXX XXXX represent scarring or atelectasis,,,,,-1.0,,,,-1.0,,,,,
 No large pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
 There are no acute osseous abnormalities,1.0,,,,,,,,,,,,,
Heart size is normal,1.0,,0.0,,,,,,,,,,,
 Mild lung hyperexpansion,,,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 There are no focal air space consolidations,1.0,,,,,,0.0,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 The hilar and mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Normal pulmonary vascularity,1.0,,,,,,,,,,,,,
Heart size is normal,1.0,,0.0,,,,,,,,,,,
 Mild lung hyperexpansion,,,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 There are no focal air space consolidations,1.0,,,,,,0.0,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 The hilar and mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Normal pulmonary vascularity,1.0,,,,,,,,,,,,,
There is no focal consolidation,1.0,,,,,,0.0,,,,,,,
 There is no pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 The cardiomediastinal contours are grossly unremarkable,1.0,0.0,,,,,,,,,,,,
 The heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
The heart size and pulmonary vascularity appear within normal limits,,,1.0,,,,,,,,,,,
 The lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
The cardiomediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 Pulmonary vasculature is unremarkable,1.0,,,,,,,,,,,,,
 There is no focal airspace opacity,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
 Stable calcified granuloma in the left upper lung,,,,,,,,,,,,,,
 No acute bony abnormality is identified,1.0,,,,,,,,,,,,,
Lungs are clear bilaterally,1.0,,,,,,,,,,,,,
 Cardiac and mediastinal silhouettes are normal,1.0,0.0,,,,,,,,,,,,
 Pulmonary vasculature is normal,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 No acute bony abnormality,1.0,,,,,,,,,,,,,
The heart size is normal,1.0,,0.0,,,,,,,,,,,
 The mediastinal contour is within normal limits,1.0,0.0,,,,,,,,,,,,
 Low lung volumes and bronchovascular crowding,1.0,,,,,,,,,,,,,
" Mild bibasilar opacities, XXXX atelectasis",,,,,1.0,,,,1.0,,,,,
 The lungs are free of any focal infiltrates,1.0,,,,0.0,,,,,,,,,
 There are no nodules or masses,1.0,,,0.0,,,,,,,,,,
 No visible pneumothorax,1.0,,,,,,,,,0.0,,,,
 No visible pleural fluid,1.0,,,,,,,,,,0.0,,,
 Stable degenerative change throughout the thoracic spine,,,,,,,,,,,,,,
 Stable thoracolumbar retrolisthesis,1.0,,,,,,,,,,,,,
 There is no visible free intraperitoneal air under the diaphragm,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette and pulmonary vasculature are within normal limits in size,1.0,0.0,,,,,,,,,,,,
" The lungs are clear of focal airspace disease, pneumothorax, or pleural effusion",1.0,,,,0.0,,,,,0.0,0.0,,,
 There are no acute bony findings,1.0,,,,,,,,,,,,,
Normal cardiac size and contour unremarkable mediastinal silhouette,1.0,0.0,0.0,,,,,,,,,,,
" Lungs clear, no airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 No active/acute cardiopulmonary disease,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The aorta is tortuous,1.0,,,,,,,,,,,,,
 The lungs are hypoinflated,1.0,,,,,,,,,,,,,
 No focal consolidation or pleural effusion seen,1.0,,,,,,0.0,,,,0.0,,,
 Old right-sided rib fracture is noted,,,,,,,,,,,,,1.0,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The aorta is tortuous,1.0,,,,,,,,,,,,,
 The lungs are hypoinflated,1.0,,,,,,,,,,,,,
 No focal consolidation or pleural effusion seen,1.0,,,,,,0.0,,,,0.0,,,
 Old right-sided rib fracture is noted,,,,,,,,,,,,,1.0,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
XXXX XXXX sternotomy XXXX appear intact,1.0,,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 The pulmonary vasculature is within normal limits,1.0,,,,,,,,,,,,,
 There is no focal lung opacity,1.0,,,,0.0,,,,,,,,,
 Clips overlie the right upper quadrant,1.0,,,,,,,,,,,,,
The heart is normal size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 Atherosclerotic calcifications present within the thoracic aorta,,,,,,,,,,,,,,
" There is no pleural effusion, pneumothorax, or focal airspace disease",1.0,,,,0.0,,,,,0.0,0.0,,,
 Mild emphysematous changes are noted,,,,,,,,,,,,,,
 Bilateral apical pleural scarring is present,,,,,,,,,,,,1.0,,
 Calcified granuloma is present within the right lower lobe,,,,,,,,,,,,,,
 The XXXX are generally unremarkable,1.0,,,,,,,,,,,,,
There has been interval increase in size of the cardiac silhouette from XXXX,,,1.0,,,,,,,,,,,
 The cardiac fluid is now mildly enlarged,1.0,,,,,,,,,,,,,
" Pulmonary vasculature is increased with mildly increased interstitial markings and fissural thickening, suggesting mild pulmonary edema",,,,,1.0,1.0,,,,,,,,
" There is no focal airspace disease, pneumothorax, or large pleural effusion",1.0,,,,0.0,,,,,0.0,0.0,,,
 Descending thoracic aorta is tortuous,1.0,,,,,,,,,,,,,
 There are no acute bony findings,1.0,,,,,,,,,,,,,
PA and lateral views the chest were obtained,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is normal in size and configuration,1.0,0.0,,,,,,,,,,,,
 The lungs are well aerated,1.0,,,,,,,,,,,,,
" No pneumothorax, pleural effusion, or focal air space consolidation",1.0,,,,,,0.0,,,0.0,0.0,,,
 Degenerative spine,,,,,,,,,,,,,,
Lungs are clear without focal consolidation,1.0,,,,,,0.0,,,,,,,
 No suspicious pulmonary nodules identified,1.0,,,0.0,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
Lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" There is no focal consolidation, pleural effusion, or pneumothoraces",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 XXXX are unremarkable,1.0,,,,,,,,,,,,,
Lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" There is no focal consolidation, pleural effusion, or pneumothoraces",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 XXXX are unremarkable,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 Heart size is normal,1.0,,0.0,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 There are endplate changes within the spine,1.0,,,,,,,,,,,,,1.0
No change in the appearance of the left upper lobectomy,1.0,,,,,,,,,,,,,
 Left parahilar scar is unchanged,,,,,1.0,,,,,,,,,
 No XXXX infiltrates or masses in the lungs,1.0,,,0.0,0.0,,,,,,,,,
 Heart size remains normal,1.0,,0.0,,,,,,,,,,,
Cardiomediastinal silhouette within normal limits,1.0,0.0,,,,,,,,,,,,
 No acute bony abnormality,1.0,,,,,,,,,,,,,
" There are XXXX XXXX opacities, atelectasis versus airspace disease",,,,,1.0,,,,-1.0,,,,,
 No large effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 No suspicious pulmonary mass or nodule is identified,1.0,,,0.0,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
" There are sclerotic lesions within the XXXX, better visualized on the comparison XXXX scan",1.0,,,,,,,,,,,,,
 There are several bilateral rib fractures with evidence of the callus formation,,,,,,,,,,,,,1.0,
 The appearance is similar to the prior chest radiograph,1.0,,,,,,,,,,,,,
"The lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Bony thorax unremarkable,1.0,,,,,,,,,,,,,
Heart size and mediastinal contours are unchanged,,-1.0,-1.0,,,,,,,,,,,
 Stable right upper lobe scarring with pleural thickening,,,,,1.0,,,,,,,1.0,,
 No XXXX consolidation,1.0,,,,,,0.0,,,,,,,
 No visible pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
CHEST,1.0,,,,,,,,,,,,,
" The heart, pulmonary XXXX and mediastinum are within normal limits",1.0,0.0,0.0,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There is no focal air space opacity to suggest a pneumonia,1.0,,,,0.0,,,0.0,,,,,,
 There are minimal degenerative changes of the spine,,,,,,,,,,,,,,
 There is flattening of the hemidiaphragms,1.0,,,,,,,,,,,,,
 ABDOMEN,1.0,,,,,,,,,,,,,
 There is a normal bowel XXXX pattern,1.0,,,,,,,,,,,,,
 There is an IVC XXXX identified,1.0,,,,,,,,,,,,,
 There are phleboliths in pelvis,1.0,,,,,,,,,,,,,
 There mild degenerative changes of the spine,,,,,,,,,,,,,,
Low lung volumes with bronchovascular crowding,1.0,,,,,,,,,,,,,
" Otherwise, no focal alveolar consolidation, no definite pleural effusion seen",1.0,,,,,,0.0,,,,0.0,,,
 A dense nodule in the right base suggest a previous granulomatous process,,,,1.0,,,,,,,,,,
" Heart size within normal limits, bronchovascular crowding without typical findings of pulmonary edema",1.0,,0.0,,,0.0,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
2 images,1.0,,,,,,,,,,,,,
 Heart size and pulmonary vascular engorgement appear within limits of normal,1.0,,0.0,,,,,,,,,,,
 Mediastinal contour is unremarkable,1.0,0.0,,,,,,,,,,,,
" No focal consolidation, pleural effusion, or pneumothorax identified",1.0,,,,,,0.0,,,0.0,0.0,,,
 No convincing acute bony findings,1.0,,,,,,,,,,,,,
Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
 Pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
 There is mild blunting of the right costophrenic XXXX on the frontal view,,,,,,,,,,,,,,
 There is also mild obscuration of the right cardiac XXXX,1.0,,,,,,,,,,,,,
 Airspace disease in expected location of right middle lobe also noted on the lateral view to No pleural effusion,,,,,1.0,,,,,,0.0,,,
 Left lung clear,1.0,,,,,,,,,,,,,
 Degenerative changes spine,,,,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
 Pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
 There is mild blunting of the right costophrenic XXXX on the frontal view,,,,,,,,,,,,,,
 There is also mild obscuration of the right cardiac XXXX,1.0,,,,,,,,,,,,,
